State,Pgestlim,Pparbth,Pwait,
Alabama,1,1,0,
Alaska,0,0,0,
Arizona,1,0,0,
Arkansas,1,0,0,
California,1,0,0,
Colorado,0,0,0,
Connecticut,1,0,0,
Delaware,1,0,0,
Florida,1,0,0,
Georgia,1,1,0,
Hawaii,0,0,0,
Idaho,1,0,1,
Illinois,1,0,0,
Indiana,1,0,1,
Iowa,1,0,0,
Kansas,1,0,1,
Kentucky,1,0,1,
Louisiana,1,0,1,
Maine,1,0,0,
Maryland,1,0,0,
Massachusetts,1,0,0,
Michigan,1,0,1,
Minnesota,1,0,0,
Mississippi,0,0,1,
Missouri,1,0,0,
Montana,1,0,0,
Nebraska,1,0,1,
Nevada,1,0,0,
New Hampshire,0,0,0,
New Jersey,0,0,0,
New Mexico,0,0,0,
New York,1,0,0,
North Carolina,1,0,0,
North Dakota,1,0,1,
Ohio,0,0,1,
Oklahoma,1,0,0,
Oregon,0,0,0,
Pennsylvania,1,0,1,
Rhode Island,1,0,0,
South Carolina,1,0,1,
South Dakota,1,0,1,
Tennessee,1,0,1,
Texas,1,0,0,
Utah,1,1,1,
Vermont,0,0,0,
Virginia,1,0,0,
Washington,1,0,0,
West Virginia,0,0,0,
Wisconsin,1,0,1,
Wyoming,1,0,0,