Area,Abortions reported by area of occurrence**,,,Abortions obtained by out-of-area residents
,No.,Rate,Ratio,No. (%)
Alabama,"5,713",6.0,99,875 (15.3)
Alaska,"1,206",8.4,127,8 (0.7)
Arizona,"13,273",9.3,172,72 (0.5)
Arkansas,"3,154",5.4,89,390 (12.4)
Colorado,"9,869",8.3,160,"1,283 (13.0)"
Connecticut,"9,115",13.6,272,456 (5.0)
Delaware,"2,281",12.5,219,272 (11.9)
District of Columbia,"4,416",23.0,498,"3,123 (70.7)"
Florida,"74,868",19.1,357,"3,988 (5.3)"
Georgia,"37,533",17.1,306,"6,411 (17.1)"
Hawaii,"1,809",7.0,115,32 (1.8)
Idaho,"1,680",4.8,78,102 (6.1)
Illinois,"46,243",18.7,347,"9,686 (20.9)"
Indiana,"7,756",5.9,99,384 (5.0)
Iowa,"4,058",6.8,112,679 (16.7)
Kansas,"7,526",13.4,219,"3,901 (51.8)"
Kentucky,"4,104",4.8,79,617 (15.0)
Louisiana,"7,473",8.1,130,"1,240 (16.6)"
Maine,"2,064",8.8,179,115 (5.6)
Massachusetts,"16,452",11.8,248,593 (3.6)
Michigan,"29,669",15.8,285,"1,620 (5.5)"
Minnesota,"10,349",9.5,163,971 (9.4)
Mississippi,"3,559",6.1,100,360 (10.1)
Missouri,167,0.1,2,33 (19.8)
Montana,"1,675",8.4,155,177 (10.6)
Nebraska,"2,378",6.3,98,374 (15.7)
Nevada,"8,633",14.1,257,471 (5.5)
New Jersey††,"22,972",13.7,235,"1,593 (6.9)"
New Mexico,"4,293",10.7,196,"1,301 (30.3)"
New York,"63,142",16.5,302,"3,670 (5.8)§§"
New York City,"37,523",20.9,388,"3,195 (8.5)"
New York State,"25,619",12.6,227,"2,469 (9.6)"
North Carolina,"30,004",14.4,257,"5,117 (17.1)"
North Dakota,"1,174",7.9,117,338 (28.8)
Ohio,"20,605",9.3,159,"1,167 (5.7)"
Oklahoma,"3,797",4.9,80,598 (15.7)
Oregon,"6,991",8.4,176,672 (9.6)
Pennsylvania,"32,123",13.5,246,"2,144 (6.7)"
Rhode Island,"2,611",12.6,258,424 (16.2)
South Carolina,"5,468",5.5,98,278 (5.1)
South Dakota,125,0.8,11,19 (15.2)
Tennessee,"11,243",8.4,143,—¶¶
Texas,"55,132",9.0,150,"1,183 (2.1)"
Utah,"2,362",3.3,52,118 (5.0)
Vermont,"1,227",10.7,239,213 (17.4)
Virginia,"15,604",9.2,165,"1,067 (6.8)"
Washington,"16,909",11.0,204,852 (5.0)
West Virginia,"1,001",3.2,58,152 (15.2)
Wisconsin,"6,430",5.9,106,94 (1.5)
Wyoming,91,0.8,15,22 (24.2)
Total,"620,327",N/A,N/A,N/A