State Name,Year,"Abortion must be performed by licensed physician? (1=yes, 0=no)","Some abortions required to be performed in a hospital? (1=yes, 0=no)","Some abortions require involvement of second physician? (1=yes, 0=no)","Gestational limit on abortions? (1=yes, 0=no)","State has law prohibiting partial birth abortion in effect? (1=yes, 0=no)","State uses own funds to pay for abortions beyond required federal minimum? (1=yes, 0=no)","State restricts coverage of abortion in private insurance plans to cases in which woman's life would be endangered (and other limited cases)? (1=yes, 0=no)","State mandated waiting period before abortion? (1=yes, 0=no)","State requires parental notification and/or consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)","State requires parental consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)",Parental notification & consent index (Pnotif+pcons),
State,Year,Plicphys,Phosp,Psecphys,Pgestlim,Pparbth,Ppubfund,Pprivins,Pwait,Pnotif,Pcons,Pminors,
Alabama,2000,1,,1,1,1,0,0,0,1,1,2,
Alaska,2000,1,,0,0,0,1,0,0,0,0,0,
Arizona,2000,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2000,1,1,1,1,0,0,0,0,1,0,1,
California,2000,1,,0,1,0,1,0,0,0,0,0,
Colorado,2000,1,,0,0,0,0,0,0,0,0,0,
Connecticut,2000,1,,0,1,0,1,0,0,0,0,0,
Delaware,2000,1,,0,1,0,0,0,0,1,0,1,
Florida,2000,1,,1,1,0,0,0,0,0,0,0,
Georgia,2000,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2000,1,,0,0,0,1,0,0,0,0,0,
Idaho,2000,1,,1,1,0,0,1,1,0,0,0,
Illinois,2000,1,,1,1,0,1,0,0,0,0,0,
Indiana,2000,1,,1,1,0,1,0,1,1,1,2,
Iowa,2000,1,,0,1,0,0,0,0,1,0,1,
Kansas,2000,0,,1,1,0,0,0,1,1,0,1,
Kentucky,2000,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2000,1,,0,1,0,0,0,1,1,1,2,
Maine,2000,1,,0,1,0,0,0,0,0,0,0,
Maryland,2000,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2000,1,,0,1,0,1,0,0,1,1,2,
Michigan,2000,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2000,1,,1,1,0,1,0,0,1,0,1,
Mississippi,2000,1,,0,0,0,0,0,1,1,1,2,
Missouri,2000,1,,1,1,0,0,1,0,1,1,2,
Montana,2000,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2000,1,,0,1,0,0,0,1,1,0,1,
Nevada,2000,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2000,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2000,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2000,1,,0,0,0,1,0,0,0,0,0,
New York,2000,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2000,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2000,1,,1,1,0,0,1,1,1,1,2,
Ohio,2000,1,,0,0,0,0,0,1,1,0,1,
Oklahoma,2000,1,,1,1,0,0,0,0,0,0,0,
Oregon,2000,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2000,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2000,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2000,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2000,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2000,1,,0,1,0,0,0,1,1,1,2,
Texas,2000,1,,0,1,0,1,0,0,1,0,1,
Utah,2000,1,,0,1,1,0,0,1,1,0,1,
Vermont,2000,0,,0,0,0,1,0,0,0,0,0,
Virginia,2000,1,,1,1,0,0,0,0,1,0,1,
Washington,2000,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2000,0,,0,0,0,1,0,0,1,0,1,
Wisconsin,2000,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2000,1,,0,1,0,0,0,0,1,1,2,
Alabama,2001,1,,1,1,0,0,0,0,1,1,2,
Alaska,2001,1,,0,0,0,1,0,0,0,0,0,
Arizona,2001,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2001,1,1,1,1,0,0,0,1,1,0,1,
California,2001,1,,0,1,0,1,0,0,0,0,0,
Colorado,2001,1,,0,0,0,0,0,0,0,0,0,
Connecticut,2001,1,,0,1,0,1,0,0,0,0,0,
Delaware,2001,1,,0,1,0,0,0,0,1,0,1,
Florida,2001,1,,1,1,0,0,0,0,0,0,0,
Georgia,2001,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2001,1,,0,0,0,1,0,0,0,0,0,
Idaho,2001,1,,1,1,0,0,1,1,0,0,0,
Illinois,2001,1,,1,1,0,1,0,0,0,0,0,
Indiana,2001,1,,1,1,0,1,0,1,1,1,2,
Iowa,2001,1,,0,1,0,0,0,0,1,0,1,
Kansas,2001,0,,1,1,1,0,0,1,1,0,1,
Kentucky,2001,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2001,1,,1,1,0,0,0,1,1,1,2,
Maine,2001,1,,0,1,0,0,0,0,0,0,0,
Maryland,2001,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2001,1,,0,1,0,1,0,0,1,1,2,
Michigan,2001,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2001,1,,1,1,0,1,0,0,1,0,1,
Mississippi,2001,1,,0,0,0,0,0,1,1,1,2,
Missouri,2001,1,,1,1,0,0,1,0,1,1,2,
Montana,2001,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2001,1,,0,1,0,0,0,1,1,0,1,
Nevada,2001,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2001,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2001,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2001,1,,0,0,1,1,0,0,0,0,0,
New York,2001,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2001,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2001,1,,1,1,0,0,1,1,1,1,2,
Ohio,2001,1,,0,0,0,0,0,1,1,0,1,
Oklahoma,2001,1,,1,1,0,0,0,0,1,0,1,
Oregon,2001,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2001,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2001,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2001,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2001,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2001,1,,0,1,0,0,0,1,1,1,2,
Texas,2001,1,,0,1,0,0,0,0,1,0,1,
Utah,2001,1,,0,1,1,0,0,1,1,0,1,
Vermont,2001,0,,0,0,0,1,0,0,0,0,0,
Virginia,2001,1,,1,1,0,0,0,1,1,0,1,
Washington,2001,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2001,0,,0,0,0,1,0,0,1,0,1,
Wisconsin,2001,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2001,1,,0,1,0,0,0,0,1,1,2,
Alabama,2002,1,,1,1,0,0,0,1,1,1,2,
Alaska,2002,1,,0,0,0,1,0,0,0,0,0,
Arizona,2002,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2002,1,,1,1,0,0,0,1,1,0,1,
California,2002,1,,0,1,0,1,0,0,0,0,0,
Colorado,2002,1,,0,0,0,0,0,0,0,0,0,
Connecticut,2002,1,,0,1,0,1,0,0,0,0,0,
Delaware,2002,1,,0,1,0,0,0,0,1,0,1,
Florida,2002,1,,1,1,0,0,0,0,1,0,1,
Georgia,2002,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2002,1,,0,0,0,1,0,0,0,0,0,
Idaho,2002,1,,1,1,0,0,1,1,0,0,0,
Illinois,2002,1,,1,1,0,1,0,0,0,0,0,
Indiana,2002,1,,1,1,0,1,0,1,1,1,2,
Iowa,2002,1,,0,1,0,0,0,0,1,0,1,
Kansas,2002,0,,1,1,1,0,0,1,1,0,1,
Kentucky,2002,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2002,1,,1,1,0,0,0,1,1,1,2,
Maine,2002,1,,0,1,0,0,0,0,0,0,0,
Maryland,2002,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2002,1,,0,1,0,1,0,0,1,1,2,
Michigan,2002,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2002,1,,1,1,0,1,0,0,1,0,1,
Mississippi,2002,1,,0,0,0,0,0,1,1,1,2,
Missouri,2002,1,,1,1,0,0,1,0,1,1,2,
Montana,2002,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2002,1,,0,1,0,0,0,1,1,0,1,
Nevada,2002,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2002,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2002,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2002,1,,0,0,1,1,0,0,0,0,0,
New York,2002,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2002,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2002,1,,1,1,0,0,1,1,1,1,2,
Ohio,2002,1,,0,0,0,0,0,1,1,0,1,
Oklahoma,2002,1,,1,1,0,0,0,0,1,0,1,
Oregon,2002,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2002,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2002,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2002,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2002,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2002,1,,0,1,0,0,0,1,1,1,2,
Texas,2002,1,,0,1,0,0,0,0,1,0,1,
Utah,2002,1,,0,1,1,0,0,1,1,0,1,
Vermont,2002,0,,0,0,0,1,0,0,0,0,0,
Virginia,2002,1,,1,1,0,0,0,1,1,0,1,
Washington,2002,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2002,0,,0,0,0,1,0,0,1,0,1,
Wisconsin,2002,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2002,1,,0,1,0,0,0,0,1,1,2,
Alabama,2003,1,,1,1,0,0,0,1,1,1,2,
Alaska,2003,1,,0,0,0,1,0,0,0,0,0,
Arizona,2003,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2003,1,,1,1,0,0,0,1,1,0,1,
California,2003,1,,0,1,0,1,0,0,0,0,0,
Colorado,2003,1,,0,0,0,0,0,0,1,0,1,
Connecticut,2003,1,,0,1,0,1,0,0,0,0,0,
Delaware,2003,1,,0,1,0,0,0,0,1,0,1,
Florida,2003,1,,1,1,0,0,0,0,1,0,1,
Georgia,2003,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2003,1,,0,0,0,1,0,0,0,0,0,
Idaho,2003,1,,1,1,0,0,1,1,0,0,0,
Illinois,2003,1,,1,1,0,1,0,0,0,0,0,
Indiana,2003,1,,1,1,0,0,0,1,1,1,2,
Iowa,2003,1,,0,1,0,0,0,0,1,0,1,
Kansas,2003,0,,1,1,1,0,0,1,1,0,1,
Kentucky,2003,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2003,1,,1,1,0,0,0,1,1,1,2,
Maine,2003,1,,0,1,0,0,0,0,0,0,0,
Maryland,2003,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2003,1,,0,1,0,1,0,0,1,1,2,
Michigan,2003,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2003,1,,1,1,0,1,0,1,1,0,1,
Mississippi,2003,1,,0,0,0,0,0,1,1,1,2,
Missouri,2003,1,,1,1,0,0,1,1,1,1,2,
Montana,2003,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2003,1,,0,1,0,0,0,1,1,0,1,
Nevada,2003,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2003,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2003,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2003,1,,0,0,1,1,0,0,0,0,0,
New York,2003,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2003,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2003,1,,1,1,0,0,1,1,1,1,2,
Ohio,2003,1,,0,0,0,0,0,1,1,0,1,
Oklahoma,2003,1,,1,1,0,0,0,0,1,0,1,
Oregon,2003,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2003,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2003,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2003,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2003,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2003,1,,0,1,0,0,0,1,1,1,2,
Texas,2003,1,,0,1,0,0,0,1,1,0,1,
Utah,2003,1,,0,1,1,0,0,1,1,0,1,
Vermont,2003,0,,0,0,0,1,0,0,0,0,0,
Virginia,2003,1,,1,1,0,0,0,1,1,1,2,
Washington,2003,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2003,0,,0,0,0,1,0,1,1,0,1,
Wisconsin,2003,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2003,1,,0,1,0,0,0,0,1,1,2,
Alabama,2004,1,,1,1,0,0,0,1,1,1,2,
Alaska,2004,1,,0,0,0,1,0,0,0,0,0,
Arizona,2004,0,,1,1,0,1,0,0,0,0,0,
Arkansas,2004,1,,1,1,0,0,0,1,1,0,1,
California,2004,1,,0,1,0,1,0,0,0,0,0,
Colorado,2004,1,,0,0,0,0,0,0,1,0,1,
Connecticut,2004,1,,0,1,0,1,0,0,0,0,0,
Delaware,2004,1,,0,1,0,0,0,0,1,0,1,
Florida,2004,1,,1,1,0,0,0,0,1,0,1,
Georgia,2004,1,,1,1,1,0,0,0,1,0,1,
Hawaii,2004,1,,0,0,0,1,0,0,0,0,0,
Idaho,2004,1,,1,1,0,0,1,1,0,0,0,
Illinois,2004,1,,1,1,0,1,0,0,0,0,0,
Indiana,2004,1,,1,1,0,0,0,1,1,1,2,
Iowa,2004,1,,0,1,0,0,0,0,1,0,1,
Kansas,2004,0,,1,1,1,0,0,1,1,0,1,
Kentucky,2004,1,,0,1,0,0,1,1,1,1,2,
Louisiana,2004,1,,1,1,0,0,0,1,1,1,2,
Maine,2004,1,,0,1,0,0,0,0,0,0,0,
Maryland,2004,1,,0,1,0,1,0,0,1,0,1,
Massachusetts,2004,1,,0,1,0,1,0,0,1,1,2,
Michigan,2004,1,,0,1,0,0,0,1,1,1,2,
Minnesota,2004,1,,1,1,0,1,0,1,1,0,1,
Mississippi,2004,1,,0,0,0,0,0,1,1,1,2,
Missouri,2004,1,,1,1,0,0,1,1,1,1,2,
Montana,2004,0,,1,1,0,1,0,0,0,0,0,
Nebraska,2004,1,,0,1,0,0,0,1,1,0,1,
Nevada,2004,1,,0,1,0,0,0,0,0,0,0,
New Hampshire,2004,0,,0,0,0,0,0,0,0,0,0,
New Jersey,2004,1,,0,0,0,1,0,0,0,0,0,
New Mexico,2004,1,,0,0,1,1,0,0,0,0,0,
New York,2004,1,,1,1,0,1,0,0,0,0,0,
North Carolina,2004,1,,0,1,0,0,0,0,1,1,2,
North Dakota,2004,1,,1,1,0,0,1,1,1,1,2,
Ohio,2004,1,,0,0,1,0,0,1,1,0,1,
Oklahoma,2004,1,,1,1,0,0,0,0,1,0,1,
Oregon,2004,0,,0,0,0,1,0,0,0,0,0,
Pennsylvania,2004,1,,1,1,0,0,0,1,1,1,2,
Rhode Island,2004,1,,0,1,0,0,0,0,1,1,2,
South Carolina,2004,1,,1,1,0,0,0,1,1,1,2,
South Dakota,2004,1,,0,1,0,0,0,1,1,0,1,
Tennessee,2004,1,,0,1,0,0,0,1,1,1,2,
Texas,2004,1,,0,1,0,0,0,1,1,0,1,
Utah,2004,1,,0,1,0,0,0,1,1,0,1,
Vermont,2004,0,,0,0,0,1,0,0,0,0,0,
Virginia,2004,1,,1,1,0,0,0,1,1,1,2,
Washington,2004,1,,0,1,0,1,0,0,0,0,0,
West Virginia,2004,0,,0,0,0,1,0,1,1,0,1,
Wisconsin,2004,1,,0,1,0,0,0,1,1,1,2,
Wyoming,2004,1,,0,1,0,0,0,0,1,1,2,
Alabama,2005,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2005,1,0,0,0,0,1,0,0,0,0,0,
Arizona,2005,0,0,1,1,0,1,0,0,0,0,0,
Arkansas,2005,1,0,1,1,0,0,0,1,1,1,2,
California,2005,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2005,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2005,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2005,1,0,0,1,0,0,0,0,1,0,1,
Florida,2005,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2005,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2005,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2005,1,1,1,1,0,0,1,1,0,0,0,
Illinois,2005,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2005,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2005,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2005,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2005,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2005,1,0,1,1,0,0,0,1,1,1,2,
Maine,2005,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2005,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2005,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2005,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2005,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2005,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2005,1,1,1,1,0,0,1,1,1,1,2,
Montana,2005,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2005,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2005,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2005,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2005,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2005,1,0,0,0,1,1,0,0,0,0,0,
New York,2005,1,1,1,1,0,1,0,0,0,0,0,
North Carolina,2005,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2005,1,1,1,1,0,0,1,1,1,1,2,
Ohio,2005,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2005,1,1,1,1,0,0,0,1,1,0,1,
Oregon,2005,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2005,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2005,1,1,0,1,0,0,0,0,1,1,2,
South Carolina,2005,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2005,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2005,1,0,0,1,0,0,0,1,1,1,2,
Texas,2005,1,0,0,1,0,0,0,1,1,1,2,
Utah,2005,1,1,0,1,0,0,0,1,1,0,1,
Vermont,2005,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2005,1,1,1,1,0,0,0,1,1,1,2,
Washington,2005,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2005,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2005,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2005,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2006,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2006,1,0,0,0,0,1,0,0,0,0,0,
Arizona,2006,0,0,1,1,0,1,0,0,0,0,0,
Arkansas,2006,1,0,1,1,0,0,0,1,1,1,2,
California,2006,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2006,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2006,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2006,1,0,0,1,0,0,0,0,1,0,1,
Florida,2006,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2006,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2006,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2006,1,1,1,1,0,0,1,1,0,0,0,
Illinois,2006,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2006,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2006,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2006,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2006,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2006,1,0,1,1,0,0,0,1,1,1,2,
Maine,2006,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2006,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2006,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2006,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2006,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2006,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2006,1,1,1,1,0,0,1,1,1,1,2,
Montana,2006,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2006,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2006,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2006,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2006,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2006,1,0,0,0,1,1,0,0,0,0,0,
New York,2006,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2006,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2006,1,1,1,1,1,0,1,1,1,1,2,
