State Name,Year,"Abortion must be performed by licensed physician? (1=yes, 0=no)","Some abortions required to be performed in a hospital? (1=yes, 0=no)","Some abortions require involvement of second physician? (1=yes, 0=no)","Gestational limit on abortions? (1=yes, 0=no)","State has law prohibiting partial birth abortion in effect? (1=yes, 0=no)","State uses own funds to pay for abortions beyond required federal minimum? (1=yes, 0=no)","State restricts coverage of abortion in private insurance plans to cases in which woman's life would be endangered (and other limited cases)? (1=yes, 0=no)","State mandated waiting period before abortion? (1=yes, 0=no)","State requires parental notification and/or consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)","State requires parental consent for minor's decision to have an abortion? (1=yes, 0=no) (note: does not count if attending physician may waive at will)",Parental notification & consent index (Pnotif+pcons),
Ohio,2006,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2006,1,1,1,1,0,0,0,1,1,1,2,
Oregon,2006,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2006,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2006,1,1,0,1,0,0,0,0,1,1,2,
South Carolina,2006,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2006,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2006,1,0,0,1,0,0,0,1,1,1,2,
Texas,2006,1,0,0,1,0,0,0,1,1,1,2,
Utah,2006,1,1,0,1,0,0,0,1,1,1,2,
Vermont,2006,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2006,1,1,1,1,0,0,0,1,1,1,2,
Washington,2006,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2006,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2006,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2006,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2007,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2007,1,0,0,0,0,1,0,0,0,0,0,
Arizona,2007,0,0,1,1,0,1,0,0,0,0,0,
Arkansas,2007,1,0,1,1,0,0,0,1,1,1,2,
California,2007,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2007,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2007,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2007,1,0,0,1,0,0,0,0,1,0,1,
Florida,2007,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2007,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2007,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2007,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2007,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2007,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2007,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2007,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2007,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2007,1,0,1,1,1,0,0,1,1,1,2,
Maine,2007,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2007,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2007,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2007,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2007,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2007,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2007,1,1,1,1,0,0,1,1,1,1,2,
Montana,2007,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2007,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2007,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2007,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2007,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2007,1,0,0,0,1,1,0,0,0,0,0,
New York,2007,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2007,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2007,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2007,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2007,1,1,1,1,0,0,0,1,1,1,2,
Oregon,2007,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2007,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2007,1,0,0,1,0,0,0,0,1,1,2,
South Carolina,2007,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2007,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2007,1,0,0,1,0,0,0,1,1,1,2,
Texas,2007,1,0,0,1,0,0,0,1,1,1,2,
Utah,2007,1,1,0,1,1,0,0,1,1,1,2,
Vermont,2007,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2007,1,1,1,1,0,0,0,1,1,1,2,
Washington,2007,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2007,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2007,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2007,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2008,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2008,1,0,0,0,0,1,0,0,0,0,0,
Arizona,2008,0,0,1,1,0,1,0,0,0,0,0,
Arkansas,2008,1,0,1,1,0,0,0,1,1,1,2,
California,2008,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2008,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2008,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2008,1,0,0,1,0,0,0,0,1,0,1,
Florida,2008,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2008,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2008,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2008,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2008,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2008,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2008,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2008,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2008,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2008,1,0,1,1,1,0,0,1,1,1,2,
Maine,2008,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2008,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2008,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2008,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2008,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2008,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2008,1,1,1,1,0,0,1,1,1,1,2,
Montana,2008,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2008,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2008,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2008,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2008,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2008,1,0,0,0,1,1,0,0,0,0,0,
New York,2008,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2008,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2008,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2008,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2008,1,1,1,1,0,0,0,1,1,1,2,
Oregon,2008,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2008,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2008,1,0,0,1,0,0,0,0,1,1,2,
South Carolina,2008,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2008,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2008,1,0,0,1,0,0,0,1,1,1,2,
Texas,2008,1,0,0,1,0,0,0,1,1,1,2,
Utah,2008,1,1,0,1,1,0,0,1,1,1,2,
Vermont,2008,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2008,1,1,1,1,1,0,0,1,1,1,2,
Washington,2008,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2008,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2008,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2008,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2009,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2009,1,0,0,0,0,1,0,0,0,0,0,
Arizona,2009,1,0,1,1,0,1,0,1,1,1,2,
Arkansas,2009,1,0,1,1,1,0,0,1,1,1,2,
California,2009,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2009,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2009,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2009,1,0,0,1,0,0,0,0,1,0,1,
Florida,2009,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2009,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2009,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2009,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2009,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2009,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2009,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2009,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2009,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2009,1,0,1,1,1,0,0,1,1,1,2,
Maine,2009,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2009,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2009,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2009,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2009,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2009,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2009,1,1,1,1,0,0,1,1,1,1,2,
Montana,2009,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2009,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2009,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2009,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2009,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2009,1,0,0,0,1,1,0,0,0,0,0,
New York,2009,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2009,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2009,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2009,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2009,1,1,1,1,0,0,0,1,1,1,2,
Oregon,2009,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2009,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2009,1,0,0,1,0,0,0,0,1,1,2,
South Carolina,2009,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2009,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2009,1,0,0,1,0,0,0,1,1,1,2,
Texas,2009,1,0,0,1,0,0,0,1,1,1,2,
Utah,2009,1,1,0,1,1,0,0,1,1,1,2,
Vermont,2009,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2009,1,1,1,1,1,0,0,1,1,1,2,
Washington,2009,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2009,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2009,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2009,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2010,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2010,1,0,0,0,0,1,0,0,1,0,1,
Arizona,2010,1,0,1,1,0,1,0,1,1,1,2,
Arkansas,2010,1,0,1,1,1,0,0,1,1,1,2,
California,2010,1,0,0,1,0,1,0,0,0,0,0,
Colorado,2010,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2010,1,1,0,1,0,1,0,0,0,0,0,
Delaware,2010,1,0,0,1,0,0,0,0,1,0,1,
Florida,2010,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2010,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2010,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2010,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2010,1,0,1,1,0,1,0,0,0,0,0,
Indiana,2010,1,1,1,1,0,0,0,1,1,1,2,
Iowa,2010,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2010,0,0,1,1,1,0,0,1,1,0,1,
Kentucky,2010,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2010,1,0,1,1,1,0,0,1,1,1,2,
Maine,2010,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2010,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2010,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2010,1,0,0,1,0,0,0,1,1,1,2,
Minnesota,2010,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2010,1,0,0,0,0,0,0,1,1,1,2,
Missouri,2010,1,1,1,1,0,0,1,1,1,1,2,
Montana,2010,0,0,1,1,0,1,0,0,0,0,0,
Nebraska,2010,1,0,0,1,0,0,0,1,1,0,1,
Nevada,2010,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2010,0,0,0,0,0,0,0,0,0,0,0,
New Jersey,2010,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2010,1,0,0,0,1,1,0,0,0,0,0,
New York,2010,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2010,1,1,0,1,0,0,0,0,1,1,2,
North Dakota,2010,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2010,1,0,0,0,1,0,0,1,1,1,2,
Oklahoma,2010,1,1,1,1,0,0,0,1,1,1,2,
Oregon,2010,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2010,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2010,1,0,0,1,0,0,0,0,1,1,2,
South Carolina,2010,1,1,1,1,0,0,0,1,1,1,2,
South Dakota,2010,1,1,0,1,0,0,0,1,1,0,1,
Tennessee,2010,1,0,0,1,0,0,0,0,1,1,2,
Texas,2010,1,0,0,1,0,0,0,1,1,1,2,
Utah,2010,1,1,0,1,1,0,0,1,1,1,2,
Vermont,2010,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2010,1,1,1,1,1,0,0,1,1,1,2,
Washington,2010,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2010,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2010,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2010,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2011,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2011,1,0,0,0,0,1,0,0,1,0,1,
Arizona,2011,1,0,1,1,0,1,0,1,1,1,2,
Arkansas,2011,1,0,1,1,1,0,0,1,1,1,2,
California,2011,0,0,0,1,0,1,0,0,0,0,0,
Colorado,2011,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2011,0,1,0,1,0,1,0,0,0,0,0,
Delaware,2011,1,0,0,1,0,0,0,0,1,0,1,
Florida,2011,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2011,1,0,1,1,1,0,0,1,1,0,1,
Hawaii,2011,1,0,0,0,0,1,0,0,0,0,0,
Idaho,2011,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2011,0,0,1,1,0,1,0,0,0,0,0,
Indiana,2011,1,1,1,1,1,0,0,1,1,1,2,
Iowa,2011,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2011,1,0,1,1,1,0,1,1,1,1,2,
Kentucky,2011,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2011,1,0,1,1,1,0,0,1,1,1,2,
Maine,2011,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2011,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2011,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2011,1,0,0,1,1,0,0,1,1,1,2,
Minnesota,2011,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2011,1,0,0,0,1,0,0,1,1,1,2,
Missouri,2011,1,1,1,1,0,0,1,1,1,1,2,
Montana,2011,0,0,1,1,1,1,0,0,0,0,0,
Nebraska,2011,1,0,0,1,0,0,1,1,1,1,2,
Nevada,2011,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2011,0,0,0,0,0,0,0,0,1,0,1,
New Jersey,2011,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2011,1,0,0,0,1,1,0,0,0,0,0,
New York,2011,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2011,1,1,0,1,0,0,0,1,1,1,2,
North Dakota,2011,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2011,1,1,1,1,1,0,0,1,1,1,2,
Oklahoma,2011,1,1,1,1,1,0,1,1,1,1,2,
Oregon,2011,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2011,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2011,0,0,0,1,0,0,0,0,1,1,2,
South Carolina,2011,1,1,1,1,1,0,0,1,1,1,2,
South Dakota,2011,1,1,0,1,1,0,0,1,1,0,1,
Tennessee,2011,1,0,0,1,1,0,0,0,1,1,2,
Texas,2011,1,0,0,1,0,0,0,1,1,1,2,
Utah,2011,1,1,0,1,1,0,1,1,1,1,2,
Vermont,2011,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2011,1,1,1,1,1,0,0,1,1,1,2,
Washington,2011,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2011,0,0,0,0,0,1,0,1,1,0,1,
Wisconsin,2011,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2011,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2012,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2012,1,0,0,0,0,1,0,0,1,0,1,
Arizona,2012,1,1,1,1,1,1,0,1,1,1,2,
Arkansas,2012,1,0,1,1,1,0,0,1,1,1,2,
California,2012,0,0,0,1,0,1,0,0,0,0,0,
Colorado,2012,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2012,0,1,0,1,0,1,0,0,0,0,0,
Delaware,2012,1,0,0,1,0,0,0,0,1,0,1,
Florida,2012,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2012,1,0,0,1,1,0,0,1,1,0,1,
Hawaii,2012,1,0,0,1,0,1,0,0,0,0,0,
Idaho,2012,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2012,0,0,1,1,0,1,0,0,0,0,0,
Indiana,2012,1,1,1,1,1,0,1,1,1,1,2,
Iowa,2012,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2012,1,0,1,1,1,0,1,1,1,1,2,
Kentucky,2012,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2012,1,0,1,1,1,0,0,1,1,1,2,
Maine,2012,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2012,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2012,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2012,1,0,0,1,1,0,0,1,1,1,2,
Minnesota,2012,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2012,1,0,0,0,1,0,0,1,1,1,2,
Missouri,2012,1,1,1,1,0,0,1,1,1,1,2,
Montana,2012,0,0,1,1,1,1,0,0,1,0,1,
Nebraska,2012,1,0,0,1,0,0,1,1,1,1,2,
Nevada,2012,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2012,0,0,0,0,1,0,0,0,1,0,1,
New Jersey,2012,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2012,1,0,0,0,1,1,0,0,0,0,0,
New York,2012,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2012,1,1,0,1,0,0,0,1,1,1,2,
North Dakota,2012,1,1,1,1,1,0,1,1,1,1,2,
Ohio,2012,1,1,1,1,1,0,0,1,1,1,2,
Oklahoma,2012,1,1,1,1,1,0,1,1,1,1,2,
Oregon,2012,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2012,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2012,0,0,0,1,0,0,0,0,1,1,2,
South Carolina,2012,1,1,1,1,1,0,0,1,1,1,2,
South Dakota,2012,1,1,0,1,1,0,0,1,1,0,1,
Tennessee,2012,1,0,0,1,1,0,0,0,1,1,2,
Texas,2012,1,0,0,1,0,0,0,1,1,1,2,
Utah,2012,1,1,0,1,1,0,1,1,1,1,2,
Vermont,2012,0,0,0,0,0,1,0,0,0,0,0,
Virginia,2012,1,1,1,1,1,0,0,1,1,1,2,
Washington,2012,1,0,0,1,0,1,0,0,0,0,0,
West Virginia,2012,0,0,0,1,0,1,0,1,1,0,1,
Wisconsin,2012,1,1,0,1,0,0,0,1,1,1,2,
Wyoming,2012,1,0,0,1,0,0,0,0,1,1,2,
Alabama,2013,1,1,1,1,0,0,0,1,1,1,2,
Alaska,2013,1,0,0,0,0,1,0,0,1,0,1,
Arizona,2013,1,1,1,1,1,1,0,1,1,1,2,
Arkansas,2013,1,0,1,1,1,0,0,1,1,1,2,
California,2013,0,0,0,1,0,1,0,0,0,0,0,
Colorado,2013,1,0,0,0,0,0,0,0,1,0,1,
Connecticut,2013,0,1,0,1,0,1,0,0,0,0,0,
Delaware,2013,1,0,0,1,0,0,0,0,1,0,1,
Florida,2013,1,0,1,1,0,0,0,0,1,0,1,
Georgia,2013,1,0,0,1,1,0,0,1,1,0,1,
Hawaii,2013,1,0,0,1,0,1,0,0,0,0,0,
Idaho,2013,1,1,1,1,0,0,1,1,1,1,2,
Illinois,2013,0,0,1,1,0,1,0,0,1,0,1,
Indiana,2013,1,1,1,1,1,0,1,1,1,1,2,
Iowa,2013,1,0,0,1,0,0,0,0,1,0,1,
Kansas,2013,1,0,1,1,1,0,1,1,1,1,2,
Kentucky,2013,1,1,0,1,0,0,1,1,1,1,2,
Louisiana,2013,1,0,1,1,1,0,0,1,1,1,2,
Maine,2013,1,0,0,1,0,0,0,0,0,0,0,
Maryland,2013,1,0,0,1,0,1,0,0,1,0,1,
Massachusetts,2013,1,1,0,1,0,1,0,0,1,1,2,
Michigan,2013,1,0,0,1,1,0,1,1,1,1,2,
Minnesota,2013,1,1,1,1,0,1,0,1,1,0,1,
Mississippi,2013,1,0,0,0,1,0,0,1,1,1,2,
Missouri,2013,1,1,1,1,0,0,1,1,1,1,2,
Montana,2013,0,0,1,1,1,1,0,0,1,0,1,
Nebraska,2013,1,0,0,1,0,0,1,1,1,1,2,
Nevada,2013,1,1,0,1,0,0,0,0,0,0,0,
New Hampshire,2013,0,0,0,0,1,0,0,0,1,0,1,
New Jersey,2013,1,1,0,0,0,1,0,0,0,0,0,
New Mexico,2013,1,0,0,0,1,1,0,0,0,0,0,
New York,2013,1,0,1,1,0,1,0,0,0,0,0,
North Carolina,2013,1,1,0,1,0,0,0,1,1,1,2,
North Dakota,2013,1,0,0,1,1,0,1,1,1,1,2,
Ohio,2013,1,1,1,1,1,0,0,1,1,1,2,
Oklahoma,2013,1,1,1,1,1,0,1,1,1,1,2,
Oregon,2013,0,0,0,0,0,1,0,0,0,0,0,
Pennsylvania,2013,1,1,1,1,0,0,0,1,1,1,2,
Rhode Island,2013,0,0,0,1,0,0,0,0,1,1,2,
South Carolina,2013,1,1,1,1,1,0,0,1,1,1,2,
South Dakota,2013,1,1,0,1,1,0,0,1,1,0,1,
