State,Legal in all/most cases,Illegal in all/most cases,Don't know,Sample size
Alabama,37%,58%,4%,511
Alaska,63%,34%,3%,310
Arizona,49%,46%,4%,653
Arkansas,38%,60%,2%,311
California,57%,38%,5%,"3,697"
Colorado,59%,36%,5%,504
Connecticut,67%,28%,5%,377
Delaware,55%,38%,6%,301
District of Columbia,70%,26%,4%,303
Florida,56%,39%,5%,"2,020"
Georgia,48%,49%,4%,968
Hawaii,66%,29%,4%,312
Idaho,45%,49%,6%,320
Illinois,56%,41%,3%,"1,326"
Indiana,43%,51%,6%,654
Iowa,52%,46%,2%,330
Kansas,49%,49%,3%,307
Kentucky,36%,57%,7%,439
Louisiana,39%,57%,4%,465
Maine,64%,33%,3%,303
Maryland,64%,33%,3%,644
Massachusetts,74%,22%,4%,704
Michigan,54%,42%,4%,982
Minnesota,52%,45%,4%,563
Mississippi,36%,59%,5%,309
Missouri,45%,50%,5%,642
Montana,56%,38%,5%,312
Nebraska,50%,46%,5%,312
Nevada,62%,34%,3%,314
New Hampshire,66%,29%,5%,303
New Jersey,61%,35%,4%,886
New Mexico,51%,45%,4%,312
New York,64%,32%,4%,"1,966"
North Carolina,49%,45%,6%,"1,022"
North Dakota,47%,51%,3%,338
Ohio,48%,47%,4%,"1,132"
Oklahoma,51%,45%,4%,391
Oregon,63%,34%,3%,419
Pennsylvania,51%,44%,5%,"1,366"
Rhode Island,63%,31%,7%,305
South Carolina,42%,52%,6%,495
South Dakota,48%,50%,3%,305
Tennessee,40%,55%,5%,661
Texas,45%,50%,4%,"2,535"
Utah,47%,51%,3%,315
Vermont,70%,26%,4%,306
Virginia,55%,42%,3%,882
Washington,60%,36%,5%,714
West Virginia,35%,58%,6%,309
Wisconsin,53%,45%,3%,600
Wyoming,48%,49%,3%,316