ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
30-49,1.1243886,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Michigan,8,4,10,2
30-49,2.263051,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Virginia,8,4,10,2
65+,.61679053,0,1,0,0,1,0,0,0,0,.a,.a,.a,2017-31116496,2016,Arkansas,8,4,10,2
65+,.60449988,1,0,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,New York,8,4,10,2
30-49,1.0821036,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
.a,.37277481,0,0,1,.a,1,0,1,1,1,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
65+,.38099599,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
18-29,3.5420895,0,1,0,1,0,1,1,0,0,0,0,0,2017-31116496,2016,Texas,8,4,10,2
65+,1.0309622,0,0,1,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Indiana,8,4,10,2
30-49,1.1296812,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
30-49,5.4078941,1,0,0,0,0,1,1,0,0,.a,.a,.a,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.38031939,1,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,New York,8,4,10,2
.a,2.028635,0,0,1,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
65+,.38689789,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,2.6007326,0,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Washington,8,4,10,2
18-29,5.5804462,0,0,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Oregon,8,4,10,2
18-29,1.5805137,0,0,0,0,1,0,1,1,1,0,0,0,2017-31116496,2016,Utah,8,4,10,2
30-49,1.2523894,0,1,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
30-49,.78855461,0,0,1,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.67723674,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,South Carolina,8,4,10,2
30-49,.93092203,0,0,1,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,.20393097,1,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,New York,8,4,10,2
65+,.76369423,0,1,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.84790403,0,0,1,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
50-64,.20393097,0,0,1,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.46181604,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.57091212,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
30-49,1.1307377,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Georgia,8,4,10,2
65+,.3154189,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,District of Columbia,8,4,10,2
50-64,.84361511,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
65+,1.0113634,0,1,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,West Virginia,8,4,10,2
65+,.60449988,1,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.91637629,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,1.0145458,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Kentucky,8,4,10,2
50-64,.62731665,0,1,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.51534343,1,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,New York,8,4,10,2
65+,.34277147,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
50-64,.47505835,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Washington,8,4,10,2
65+,1.0904375,1,0,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Connecticut,8,4,10,2
65+,.20393097,0,1,0,0,1,0,1,1,1,.a,.a,.a,2017-31116496,2016,Louisiana,8,4,10,2
30-49,.49592894,0,0,1,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,.89150679,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.24142189,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Oklahoma,8,4,10,2
50-64,.51603174,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
50-64,2.4828634,0,0,1,0,1,0,1,0,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,2.6710157,0,1,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Mississippi,8,4,10,2
30-49,.40322939,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.30617782,1,0,0,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.21658158,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Kentucky,8,4,10,2
18-29,.81655014,0,1,0,1,0,1,1,1,1,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
50-64,1.00765,0,1,0,1,1,0,1,1,1,0,0,0,2017-31116496,2016,Texas,8,4,10,2
.a,2.5754914,0,0,1,0,1,0,1,0,0,0,0,0,2017-31116496,2016,Nebraska,8,4,10,2
.a,1.1288077,0,0,1,0,.a,.a,1,1,0,0,0,1,2017-31116496,2016,Missouri,8,4,10,2
65+,.52258343,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Virginia,8,4,10,2
30-49,.7081663,0,1,0,1,1,0,1,1,1,0,0,0,2017-31116496,2016,Georgia,8,4,10,2
65+,.60677159,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
65+,1.9880487,0,1,0,0,0,1,0,0,0,0,1,0,2017-31116496,2016,Florida,8,4,10,2
30-49,1.1104146,0,0,1,0,1,0,1,1,1,0,0,0,2017-31116496,2016,Ohio,8,4,10,2
65+,.29116517,0,0,1,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Illinois,8,4,10,2
50-64,1.1669947,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,South Carolina,8,4,10,2
30-49,.56272006,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Arkansas,8,4,10,2
30-49,.80496514,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Idaho,8,4,10,2
50-64,.59657121,1,0,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,New York,8,4,10,2
30-49,1.1223062,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Wyoming,8,4,10,2
50-64,.60418212,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,California,8,4,10,2
30-49,1.2427034,1,0,0,0,1,0,1,0,0,0,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.57030642,0,1,0,0,0,1,1,1,1,1,0,0,2017-31116496,2016,Texas,8,4,10,2
65+,1.1690208,0,0,0,1,0,1,0,0,0,.a,.a,.a,2017-31116496,2016,Colorado,8,4,10,2
65+,.5483498,0,0,1,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Michigan,8,4,10,2
65+,.32312518,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Louisiana,8,4,10,2
30-49,5.5406861,0,0,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Colorado,8,4,10,2
30-49,.48733303,0,0,1,1,0,1,1,1,1,0,0,0,2017-31116496,2016,Illinois,8,4,10,2
65+,1.2794544,0,0,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Colorado,8,4,10,2
18-29,1.1647776,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,1.1749526,0,0,1,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,.23224169,0,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,California,8,4,10,2
30-49,1.2244698,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,South Dakota,8,4,10,2
50-64,.90954268,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
65+,.45280391,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
65+,.65204471,1,0,0,1,0,1,1,1,0,0,0,1,2017-31116496,2016,New York,8,4,10,2
65+,.48802054,0,1,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Kentucky,8,4,10,2
65+,1.3814713,0,0,1,1,0,1,1,0,0,0,1,0,2017-31116496,2016,Missouri,8,4,10,2
65+,.37828541,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,1.1784209,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Oklahoma,8,4,10,2
65+,.39113909,0,0,0,0,0,1,1,1,1,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
30-49,.56117195,0,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Washington,8,4,10,2
30-49,1.4115083,0,1,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Tennessee,8,4,10,2
30-49,2.1286478,0,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,California,8,4,10,2
30-49,.94879276,0,0,1,0,1,0,1,1,0,0,0,0,2017-31116496,2016,Michigan,8,4,10,2
30-49,3.4000638,0,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Colorado,8,4,10,2
65+,.42617875,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Colorado,8,4,10,2
30-49,1.3057554,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,California,8,4,10,2
30-49,3.0224645,0,1,0,1,1,0,1,1,0,0,0,0,2017-31116496,2016,South Carolina,8,4,10,2
65+,1.4100282,0,1,0,1,0,1,1,0,0,0,1,0,2017-31116496,2016,South Carolina,8,4,10,2
65+,.29116517,0,0,1,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Michigan,8,4,10,2
65+,.33576313,0,0,1,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Illinois,8,4,10,2
50-64,.4099957,0,1,0,1,0,1,1,0,0,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
65+,.32312518,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
65+,.38689789,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
30-49,.89575386,0,0,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,California,8,4,10,2
65+,.76055682,0,0,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Hawaii,8,4,10,2
50-64,.89136285,1,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.27014771,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Kentucky,8,4,10,2
65+,.20393097,0,0,1,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Michigan,8,4,10,2
18-29,1.5750349,0,0,1,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Iowa,8,4,10,2
50-64,1.0587639,1,0,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.37828541,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
50-64,1.9885148,0,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Washington,8,4,10,2
50-64,.56526935,0,0,1,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Michigan,8,4,10,2
65+,.72022742,0,0,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
50-64,.48284379,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Louisiana,8,4,10,2
30-49,.72060961,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,North Carolina,8,4,10,2
30-49,1.4517914,0,0,0,0,0,1,0,0,0,0,0,1,2017-31116496,2016,California,8,4,10,2
65+,.3154189,1,0,0,0,1,0,1,1,1,0,0,0,2017-31116496,2016,New York,8,4,10,2
50-64,.7568171,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
30-49,.81298971,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Georgia,8,4,10,2
30-49,1.1960831,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Missouri,8,4,10,2
65+,.32282329,0,0,1,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Indiana,8,4,10,2
65+,.75925297,0,0,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Washington,8,4,10,2
.a,5.3420315,0,1,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Texas,8,4,10,2
30-49,.52826828,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.50407332,0,0,1,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
30-49,.54209638,1,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,New York,8,4,10,2
65+,.36491579,1,0,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,Massachusetts,8,4,10,2
50-64,.4080326,1,0,0,0,0,1,1,1,1,1,0,0,2017-31116496,2016,New York,8,4,10,2
50-64,2.0580158,0,0,1,1,1,0,1,0,0,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
50-64,.32709214,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Texas,8,4,10,2
30-49,4.3130684,1,0,0,0,.a,.a,1,0,0,0,1,0,2017-31116496,2016,Rhode Island,8,4,10,2
50-64,.40542132,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
30-49,.82186961,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Washington,8,4,10,2
65+,.20393097,1,0,0,0,1,0,1,1,0,.a,.a,.a,2017-31116496,2016,Massachusetts,8,4,10,2
50-64,.22901285,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,South Carolina,8,4,10,2
65+,.32222539,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Arizona,8,4,10,2
50-64,.62731665,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
65+,.23146819,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
30-49,1.1062772,0,1,0,1,0,1,1,1,1,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
65+,1.355776,1,0,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,New York,8,4,10,2
65+,.25964364,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Wisconsin,8,4,10,2
30-49,1.242856,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
50-64,.30318087,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Tennessee,8,4,10,2
30-49,1.0459474,1,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.36134455,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,California,8,4,10,2
65+,.20393097,0,0,1,0,1,0,1,0,0,.a,.a,.a,2017-31116496,2016,Ohio,8,4,10,2
30-49,.81646895,1,0,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,New Jersey,8,4,10,2
50-64,.38834661,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Texas,8,4,10,2
50-64,1.430181,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.29038492,1,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Massachusetts,8,4,10,2
50-64,.73999411,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
30-49,.84119135,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.6789422,0,1,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
18-29,2.5540309,0,1,0,1,0,1,1,1,1,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
30-49,1.0737884,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,South Carolina,8,4,10,2
50-64,.98065591,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.44782987,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,South Carolina,8,4,10,2
30-49,1.3453689,0,1,0,1,1,0,1,1,1,0,0,0,2017-31116496,2016,Louisiana,8,4,10,2
50-64,1.1534047,0,0,1,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Missouri,8,4,10,2
18-29,.56272006,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.44670579,0,1,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.81336832,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.59714985,0,0,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Nevada,8,4,10,2
65+,.56051868,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.40542132,0,0,1,0,.a,.a,1,0,0,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
30-49,5.5804462,0,0,1,1,0,1,0,0,0,0,0,0,2017-31116496,2016,Nebraska,8,4,10,2
65+,.20393097,1,0,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.38468874,1,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,New Jersey,8,4,10,2
30-49,.85298264,1,0,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Massachusetts,8,4,10,2
65+,.46600857,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
65+,.20393097,1,0,0,0,1,0,1,1,1,0,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,1.7740502,0,0,0,0,0,1,1,0,0,0,1,0,2017-31116496,2016,Hawaii,8,4,10,2
30-49,1.1334363,1,0,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,New Jersey,8,4,10,2
65+,.39076006,1,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Massachusetts,8,4,10,2
65+,.20393097,0,1,0,1,1,0,.a,.a,.a,1,0,0,2017-31116496,2016,Arkansas,8,4,10,2
30-49,1.4240751,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
30-49,.77425456,0,0,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
30-49,1.0458721,0,0,0,0,1,0,0,0,0,1,0,0,2017-31116496,2016,Colorado,8,4,10,2
18-29,2.3625524,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Missouri,8,4,10,2
18-29,3.5064039,0,0,1,1,0,1,1,1,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
50-64,1.0237731,0,0,1,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Indiana,8,4,10,2
50-64,.4288097,1,0,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.7081663,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
30-49,1.2515789,0,0,1,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,.61124152,0,0,1,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.49879426,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
65+,.20393097,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Texas,8,4,10,2
30-49,1.3898591,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.96239823,0,1,0,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Florida,8,4,10,2
50-64,1.0628718,0,0,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
30-49,.77926993,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Florida,8,4,10,2
30-49,.67732579,0,0,1,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Missouri,8,4,10,2
50-64,.72580957,0,1,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.64924324,0,0,1,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,1.3339872,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Alabama,8,4,10,2
30-49,.97599882,0,0,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Colorado,8,4,10,2
